"external_id","duplicate_detection","external_name","manufacturer","category","last_update","qty_requested","created_date","source_file","import_date"
"30014161","? Unique","992238 Valaprotect spezial 80x175cm Einweg-Schutzlaken Tragelaken HARTMANN","","Sonstige medizinische Produkte","","0","","Product without substitute.csv","2026-05-25"
"30014293","? Unique","9922390 Tragenlaken special 80x210cm HARTMANN","","Sonstige medizinische Produkte","","0","","Product without substitute.csv","2026-05-25"
"3354703","? Unique","Comfeel Plus Transparent, 9x14cm","","Sonstige medizinische Produkte","","","","Product without substitute.csv","2026-05-25"
"3354813","? Unique","Comfeel Plus Transparent, 9x25cm","","Sonstige medizinische Produkte","","","","Product without substitute.csv","2026-05-25"
"3353603","? Unique","Biatain Silicone 17,5x17,5cm","","Wundversorgung / Dressings","","","","Product without substitute.csv","2026-05-25"
"3353703","? Unique","Cutimed Sorbion Sana multi star 11cm","","Wundversorgung / Dressings","","","","Product without substitute.csv","2026-05-25"
"3343833","? Unique","Cutimed Sorbion Sana multi star 17cm","","Wundversorgung / Dressings","","","","Product without substitute.csv","2026-05-25"
"7323801","? Unique","Purilon Gel, 10 x 8gr","","Sonstige medizinische Produkte","","","","Product without substitute.csv","2026-05-25"
"7323809","? Unique","Purilon Gel, 10 x 15gr","","Sonstige medizinische Produkte","","","","Product without substitute.csv","2026-05-25"
"390603","? Unique","Biatain Fiber 19x25 cm","","Sonstige medizinische Produkte","","","","Product without substitute.csv","2026-05-25"
